10,2,0.000002,0.000452,0.000249
10,4,0.000000,0.000416,0.000179
10,8,0.000000,0.000707,0.000322
10,16,0.000000,0.000722,0.001109
100,2,0.000001,0.000197,0.000122
100,4,0.000000,0.000892,0.000162
100,8,0.000000,0.000729,0.000215
100,16,0.000001,0.008131,0.001292
1000,2,0.000003,0.000359,0.000715
1000,4,0.000004,0.000396,0.000241
1000,8,0.000001,0.001823,0.001214
1000,16,0.000005,0.001835,0.000946
10000,2,0.000010,0.000304,0.000185
10000,4,0.000015,0.001545,0.000254
10000,8,0.000035,0.000686,0.000286
10000,16,0.000037,0.001675,0.001096
100000,2,0.000140,0.000470,0.000772
100000,4,0.000287,0.000672,0.000432
100000,8,0.000204,0.000391,0.000234
100000,16,0.000146,0.001388,0.000770
1000000,2,0.001335,0.002298,0.002158
1000000,4,0.003615,0.001309,0.001348
1000000,8,0.001477,0.000794,0.000702
1000000,16,0.001468,0.001742,0.001362
10000000,2,0.015132,0.007326,0.017041
10000000,4,0.030044,0.006979,0.009467
10000000,8,0.034555,0.005334,0.005099
10000000,16,0.022605,0.005057,0.005026
100000000,2,0.128542,0.147758,0.119372
100000000,4,0.136566,0.055484,0.081701
100000000,8,0.110034,0.042585,0.045595
100000000,16,0.125668,0.036939,0.035361
1000000000,2,1.059982,0.793541,0.605723
1000000000,4,1.125150,0.670733,0.560267
1000000000,8,0.987356,0.370541,0.380899
1000000000,16,0.964105,0.301317,0.301651
10000000000,2,8.975679,5.479332,5.343658
10000000000,4,9.383292,3.871467,4.716821
10000000000,8,9.366317,3.608819,3.806535
10000000000,16,9.324197,3.052992,3.093022
