10,2,0.000000,0.000000,0.000000
10,4,0.000000,0.000000,0.000000
10,8,0.000000,0.000000,0.000000
10,16,0.000000,0.000000,0.000000
100,2,0.000000,0.000000,0.000000
100,4,0.000000,0.000000,0.000000
100,8,0.000001,0.001741,0.003925
100,16,0.000000,0.000000,0.000000
1000,2,0.000001,0.004533,0.003349
1000,4,0.000003,0.004959,0.018692
1000,8,0.000003,0.004486,0.013361
1000,16,0.000004,0.002791,0.003612
10000,2,0.000012,0.036576,0.030960
10000,4,0.000039,0.057767,0.175214
10000,8,0.000032,0.049611,0.028706
10000,16,0.000037,0.024617,0.031306
