10,2,0.000001,0.003028,0.006568
10,4,0.000000,0.000000,0.000000
10,8,0.000000,0.000000,0.000000
10,16,0.000000,0.000000,0.000000
100,2,0.000000,0.000000,0.000000
100,4,0.000000,0.000000,0.000000
100,8,0.000000,0.000000,0.000000
100,16,0.000000,0.000000,0.000000
1000,2,0.000005,0.018750,0.008485
1000,4,0.000004,0.003431,0.017021
1000,8,0.000001,0.002579,0.002395
1000,16,0.000003,0.001324,0.004134
10000,2,0.000014,0.048007,0.020268
10000,4,0.000012,0.027899,0.069959
10000,8,0.000044,0.044348,0.153461
10000,16,0.000031,0.029776,0.030689
100000,2,0.000133,0.182532,0.199714
100000,4,0.000188,0.494354,0.760618
100000,8,0.000111,0.132915,0.236909
100000,16,0.000321,0.132383,0.209357
1000000,2,0.000966,0.745950,0.631842
1000000,4,0.001055,0.914256,1.056086
1000000,8,0.002941,3.333784,4.274082
1000000,16,0.003473,2.776253,2.555614
10000000,2,0.010200,1.765590,1.709980
10000000,4,0.012215,1.892262,1.407771
10000000,8,0.013376,2.765875,2.641882
10000000,16,0.022470,4.693993,3.558198
100000000,2,0.115258,1.912676,1.846459
100000000,4,0.144029,2.156352,2.369604
100000000,8,0.110119,2.927279,2.471199
100000000,16,0.101006,2.759126,3.050893
1000000000,2,0.968327,1.813238,1.760297
1000000000,4,0.941633,1.892102,1.627428
1000000000,8,1.171487,3.127903,2.937199
1000000000,16,1.157816,3.533524,3.693345
